"","col_sample_rate_per_tree","min_rows","mtries","sample_rate","model_ids","logloss"
"1","0.5","5.0","4","0.5","RF_2_model_29",0.2737
"2","0.5","5.0","7","0.5","RF_2_model_6",0.2768
"3","0.5","5.0","5","0.5","RF_2_model_5",0.2795
"4","0.9","5.0","4","0.5","RF_2_model_2",0.2859
"5","0.5","1.0","4","0.5","RF_2_model_16",0.2934
"6","0.5","1.0","5","0.5","RF_2_model_23",0.2939
"7","0.5","5.0","5","0.7","RF_2_model_8",0.2941
"8","0.5","2.0","5","0.5","RF_2_model_21",0.2953
"9","0.5","5.0","5","0.9","RF_2_model_7",0.2954
"10","0.5","2.0","4","0.7","RF_2_model_3",0.2969
"11","0.5","1.0","5","0.7","RF_2_model_9",0.3021
"12","0.9","5.0","5","0.7","RF_2_model_25",0.3025
"13","0.9","1.0","5","0.5","RF_2_model_17",0.3031
"14","0.5","2.0","4","0.9","RF_2_model_0",0.3048
"15","0.5","1.0","7","0.7","RF_2_model_13",0.3056
"16","0.9","2.0","5","0.5","RF_2_model_27",0.3111
"17","0.5","1.0","4","0.9","RF_2_model_15",0.3158
"18","0.5","1.0","7","0.9","RF_2_model_4",0.3175
"19","0.9","2.0","7","0.5","RF_2_model_18",0.3279
"20","0.9","5.0","7","0.7","RF_2_model_26",0.3331
"21","0.5","1.0","5","0.9","RF_2_model_10",0.335
"22","0.9","5.0","4","0.9","RF_2_model_14",0.3382
"23","0.9","1.0","5","0.7","RF_2_model_12",0.3408
"24","0.9","2.0","7","0.7","RF_2_model_22",0.3419
"25","0.9","1.0","7","0.5","RF_2_model_28",0.3459
"26","0.9","2.0","5","0.9","RF_2_model_24",0.3483
"27","0.9","1.0","5","0.9","RF_2_model_11",0.3508
"28","0.9","5.0","7","0.9","RF_2_model_19",0.3512
"29","0.9","2.0","7","0.9","RF_2_model_20",0.3613
"30","0.9","1.0","7","0.7","RF_2_model_1",0.3723
